Problem ID,Title,Link
1A,Theatre Square,https://codeforces.com/problemset/problem/1/A
1B,Spreadsheet,https://codeforces.com/problemset/problem/1/B
1C,Ancient Berland Circus,https://codeforces.com/problemset/problem/1/C
2A,Winner,https://codeforces.com/problemset/problem/2/A
2B,The least round way,https://codeforces.com/problemset/problem/2/B
2C,Commentator problem,https://codeforces.com/problemset/problem/2/C
3A,Shortest path of the king,https://codeforces.com/problemset/problem/3/A
3B,Lorry,https://codeforces.com/problemset/problem/3/B
3C,Tic-tac-toe,https://codeforces.com/problemset/problem/3/C
3D,Least Cost Bracket Sequence,https://codeforces.com/problemset/problem/3/D
4A,Watermelon,https://codeforces.com/problemset/problem/4/A
4B,Before an Exam,https://codeforces.com/problemset/problem/4/B
4C,Registration System,https://codeforces.com/problemset/problem/4/C
4D,Mysterious Present,https://codeforces.com/problemset/problem/4/D
5A,Chat Servers Outgoing Traffic,https://codeforces.com/problemset/problem/5/A
5B,Center Alignment,https://codeforces.com/problemset/problem/5/B
5C,Longest Regular Bracket Sequence,https://codeforces.com/problemset/problem/5/C
5D,Follow Traffic Rules,https://codeforces.com/problemset/problem/5/D
5E,Bindian Signalizing,https://codeforces.com/problemset/problem/5/E
6A,Triangle,https://codeforces.com/problemset/problem/6/A
6B,President's Office,https://codeforces.com/problemset/problem/6/B
6C,"Alice, Bob and Chocolate",https://codeforces.com/problemset/problem/6/C
6D,Lizards and Basements 2,https://codeforces.com/problemset/problem/6/D
6E,Exposition,https://codeforces.com/problemset/problem/6/E
7A,Kalevitch and Chess,https://codeforces.com/problemset/problem/7/A
7B,Memory Manager,https://codeforces.com/problemset/problem/7/B
7C,Line,https://codeforces.com/problemset/problem/7/C
7D,Palindrome Degree,https://codeforces.com/problemset/problem/7/D
7E,Defining Macros,https://codeforces.com/problemset/problem/7/E
8A,Train and Peter,https://codeforces.com/problemset/problem/8/A
8B,Obsession with Robots,https://codeforces.com/problemset/problem/8/B
8C,Looking for Order,https://codeforces.com/problemset/problem/8/C
8D,Two Friends,https://codeforces.com/problemset/problem/8/D
8E,Beads,https://codeforces.com/problemset/problem/8/E
9A,Die Roll,https://codeforces.com/problemset/problem/9/A
9B,Running Student,https://codeforces.com/problemset/problem/9/B
9C,Hexadecimal's Numbers,https://codeforces.com/problemset/problem/9/C
9D,How many trees?,https://codeforces.com/problemset/problem/9/D
9E,Interestring graph and Apples,https://codeforces.com/problemset/problem/9/E
10A,Power Consumption Calculation,https://codeforces.com/problemset/problem/10/A
10B,Cinema Cashier,https://codeforces.com/problemset/problem/10/B
10C,Digital Root,https://codeforces.com/problemset/problem/10/C
10D,LCIS,https://codeforces.com/problemset/problem/10/D
10E,Greedy Change,https://codeforces.com/problemset/problem/10/E
11A,Increasing Sequence,https://codeforces.com/problemset/problem/11/A
11B,Jumping Jack,https://codeforces.com/problemset/problem/11/B
11C,How Many Squares?,https://codeforces.com/problemset/problem/11/C
11D,A Simple Task,https://codeforces.com/problemset/problem/11/D
11E,"Forward, march!",https://codeforces.com/problemset/problem/11/E
12A,Super Agent,https://codeforces.com/problemset/problem/12/A
12B,Correct Solution?,https://codeforces.com/problemset/problem/12/B
12C,Fruits,https://codeforces.com/problemset/problem/12/C
12D,Ball,https://codeforces.com/problemset/problem/12/D
12E,Start of the session,https://codeforces.com/problemset/problem/12/E
13A,Numbers,https://codeforces.com/problemset/problem/13/A
13B,Letter A,https://codeforces.com/problemset/problem/13/B
13C,Sequence,https://codeforces.com/problemset/problem/13/C
13D,Triangles,https://codeforces.com/problemset/problem/13/D
13E,Holes,https://codeforces.com/problemset/problem/13/E
14A,Letter,https://codeforces.com/problemset/problem/14/A
14B,Young Photographer,https://codeforces.com/problemset/problem/14/B
14C,Four Segments,https://codeforces.com/problemset/problem/14/C
14D,Two Paths,https://codeforces.com/problemset/problem/14/D
14E,Camels,https://codeforces.com/problemset/problem/14/E
15A,Cottage Village,https://codeforces.com/problemset/problem/15/A
15B,Laser,https://codeforces.com/problemset/problem/15/B
15C,Industrial Nim,https://codeforces.com/problemset/problem/15/C
15D,Map,https://codeforces.com/problemset/problem/15/D
15E,Triangles,https://codeforces.com/problemset/problem/15/E
16A,Flag,https://codeforces.com/problemset/problem/16/A
16B,Burglar and Matches,https://codeforces.com/problemset/problem/16/B
16C,Monitor,https://codeforces.com/problemset/problem/16/C
16D,Logging,https://codeforces.com/problemset/problem/16/D
16E,Fish,https://codeforces.com/problemset/problem/16/E
17A,Noldbach problem,https://codeforces.com/problemset/problem/17/A
17B,Hierarchy,https://codeforces.com/problemset/problem/17/B
17C,Balance,https://codeforces.com/problemset/problem/17/C
17D,Notepad,https://codeforces.com/problemset/problem/17/D
17E,Palisection,https://codeforces.com/problemset/problem/17/E
18A,Triangle,https://codeforces.com/problemset/problem/18/A
18B,Platforms,https://codeforces.com/problemset/problem/18/B
18C,Stripe,https://codeforces.com/problemset/problem/18/C
18D,Seller Bob,https://codeforces.com/problemset/problem/18/D
18E,Flag 2,https://codeforces.com/problemset/problem/18/E
19A,World Football Cup,https://codeforces.com/problemset/problem/19/A
19B,Checkout Assistant,https://codeforces.com/problemset/problem/19/B
19C,Deletion of Repeats,https://codeforces.com/problemset/problem/19/C
19D,Points,https://codeforces.com/problemset/problem/19/D
19E,Fairy,https://codeforces.com/problemset/problem/19/E
20A,BerOS file system,https://codeforces.com/problemset/problem/20/A
20B,Equation,https://codeforces.com/problemset/problem/20/B
20C,Dijkstra?,https://codeforces.com/problemset/problem/20/C
21A,Jabber ID,https://codeforces.com/problemset/problem/21/A
21B,Intersection,https://codeforces.com/problemset/problem/21/B
21C,Stripe 2,https://codeforces.com/problemset/problem/21/C
21D,Traveling Graph,https://codeforces.com/problemset/problem/21/D
22A,Second Order Statistics,https://codeforces.com/problemset/problem/22/A
22B,Bargaining Table,https://codeforces.com/problemset/problem/22/B
22C,System Administrator,https://codeforces.com/problemset/problem/22/C
22D,Segments,https://codeforces.com/problemset/problem/22/D
22E,Scheme,https://codeforces.com/problemset/problem/22/E
23A,You're Given a String...,https://codeforces.com/problemset/problem/23/A
23B,Party,https://codeforces.com/problemset/problem/23/B
23C,Oranges and Apples,https://codeforces.com/problemset/problem/23/C
23D,Tetragon,https://codeforces.com/problemset/problem/23/D
23E,Tree,https://codeforces.com/problemset/problem/23/E
24A,Ring road,https://codeforces.com/problemset/problem/24/A
24B,F1 Champions,https://codeforces.com/problemset/problem/24/B
24C,Sequence of points,https://codeforces.com/problemset/problem/24/C
24D,Broken robot,https://codeforces.com/problemset/problem/24/D
24E,Berland collider,https://codeforces.com/problemset/problem/24/E
25A,IQ test,https://codeforces.com/problemset/problem/25/A
25B,Phone numbers,https://codeforces.com/problemset/problem/25/B
25C,Roads in Berland,https://codeforces.com/problemset/problem/25/C
25D,Roads not only in Berland,https://codeforces.com/problemset/problem/25/D
25E,Test,https://codeforces.com/problemset/problem/25/E
26A,Almost Prime,https://codeforces.com/problemset/problem/26/A
26B,Regular Bracket Sequence,https://codeforces.com/problemset/problem/26/B
26C,Parquet,https://codeforces.com/problemset/problem/26/C
26D,Tickets,https://codeforces.com/problemset/problem/26/D
26E,Multithreading,https://codeforces.com/problemset/problem/26/E
27A,Next Test,https://codeforces.com/problemset/problem/27/A
27B,Tournament,https://codeforces.com/problemset/problem/27/B
27C,Unordered Subsequence,https://codeforces.com/problemset/problem/27/C
27D,Ring Road 2,https://codeforces.com/problemset/problem/27/D
27E,Number With The Given Amount Of Divisors,https://codeforces.com/problemset/problem/27/E
28A,Bender Problem,https://codeforces.com/problemset/problem/28/A
28B,pSort,https://codeforces.com/problemset/problem/28/B
28C,Bath Queue,https://codeforces.com/problemset/problem/28/C
